,active,confirmed,country_region,deaths,last_update,lat,long,recovered,country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio
36,9986.0,10568.0,Brazil,455.0,4/5/2020 18:24,-14.235,-51.9253,127.0,Brazil,BRA,4.3,3.4,25.06,86.569,No data,88.29385,3.3,0.7,5.0,14.80000019,2.4,4.3,3.5,2.5,21.5,1777.47,44
37,474.0,531.0,Bulgaria,20.0,4/5/2020 18:24,42.7339,25.4858,37.0,Bulgaria,BGR,2.4,2.7,64.7,75.008,No data,86.0037,2.3,0.2,3.5,7.5,3.6,3.0,1.5,3.1,39.88,1577.94,11
38,238.0,345.0,Burkina Faso,17.0,4/5/2020 18:24,12.2383,-1.5616,90.0,Burkina Faso,BFA,5.3,7.7,72.19,29.358,11.88,19.40209,5.8,4,5.5,81.19999695,20.0,6.6,6.9,5.8,0.6,115.6,371
39,3.0,3.0,Burundi,0.0,4/5/2020 18:24,-3.3731,29.9189,0.0,Burundi,BDI,6.2,7.0,435.18,13.032,6.14,45.8212,6.6,3.5,5.7,61.20000076,36.8,6.8,7.5,7.0,0.5,50.25,712
40,6.0,7.0,Cabo Verde,1.0,4/5/2020 18:24,16.5388,-23.0418,0.0,Cabo Verde,CPV,2.6,4.7,134.93,65.732,No data,73.85379,3.3,1.7,4.8,17.39999962,12.6,3.9,4.8,3.8,7.69,347.64,42
41,64.0,114.0,Cambodia,0.0,4/5/2020 18:24,11.55,104.9167,50.0,Cambodia,KHM,4.8,4.9,92.06,23.388,66.23,59.226969999999994,3.9,2.7,5.1,29.20000076,16.4,6.2,6.1,4.7,1.68,228.57,161
42,529.0,555.0,Cameroon,9.0,4/5/2020 18:24,3.8480000000000003,11.5021,17.0,Cameroon,CMR,6.0,7.0,53.34,56.374,2.73,39.07555,6.6,6.3,5.6,84,9.9,6.0,7.1,5.2,0.9,169.29,596
43,8.0,8.0,Central African Republic,0.0,4/5/2020 18:24,6.6111,20.9394,0.0,Central African Republic,CAF,8.6,5.5,7.49,41.364,16.6,25.319670000000002,9.0,8.8,5.9,121.5,59.6,8.7,9.6,8.1,0.63,29.91,882
44,9.0,9.0,Chad,0.0,4/5/2020 18:24,15.4542,18.7322,0.0,Chad,TCD,7.3,7.1,12.29,23.059,5.82,8.34248,7.6,3.6,5.4,123.1999969,37.5,8.9,9.8,7.6,0.47,94.95,856
45,3819.0,4471.0,Chile,34.0,4/5/2020 18:24,-35.6751,-71.543,618.0,Chile,CHL,3.0,3.7,25.19,87.564,No data,100.0,2.0,0.6,4.6,7.400000095,2.7,3.0,3,2.3,10.8,2002.01,22
46,1365.0,1485.0,Colombia,35.0,4/5/2020 18:24,4.5709,-74.2973,85.0,Colombia,COL,5.4,4.1,44.75,80.778,65.39,89.62536,6.0,0.6,4.6,14.69999981,4.8,3.8,3.6,2.7,20.84,829.8,64
47,420.0,435.0,Costa Rica,2.0,4/5/2020 18:24,9.7489,-83.7534,13.0,Costa Rica,CRI,3.0,3.9,97.91,79.34,83.84,97.81836,2.9,0.3,4.6,9,4.8,2.6,3.5,2.0,11.5,1248.55,25
48,1042.0,1182.0,Croatia,15.0,4/5/2020 18:24,45.1,15.2,125.0,Croatia,HRV,2.1,2.4,73.08,56.947,No data,96.53844000000001,1.1,0.1,5.3,4.599999905,2.4,3.1,2,3.0,29.96,1705.21,8
49,297.0,320.0,Cuba,8.0,4/5/2020 18:24,21.521757,-77.78116700000001,15.0,Cuba,CUB,3.5,3.6,109.0,77.037,85.2,92.81024000000001,3.2,0.4,5.9,5.400000095,2.4,3.1,0.6,1.7,81.9,2457.67,39
50,400.0,446.0,Cyprus,9.0,4/5/2020 18:24,35.1264,33.4299,37.0,Cyprus,CYP,3.0,2.9,128.71,66.81,No data,99.15231,4.2,0.1,5.0,2.700000048,5.6,2.6,2.4,1.6,19.51,2270.83,7
51,50.0,59.0,Djibouti,0.0,4/5/2020 18:24,11.8251,42.5903,9.0,Djibouti,DJI,5.2,5.0,41.37,77.777,No data,63.60536,5.6,2.4,5.9,61.70000076,18.9,6.4,6.6,6.6,2.2,122.08,229
52,14.0,14.0,Dominica,0.0,4/5/2020 18:24,15.415,-61.371,0.0,Dominica,DMA,3.5,3.9,95.5,70.483,No data,77.89276,3.7,0.6,3.8,34,6.2,4.1,5.9,3.8,10.82,580.66,No data
53,1646.0,1745.0,Dominican Republic,82.0,4/5/2020 18:24,18.7357,-70.1627,17.0,Dominican Republic,DOM,3.8,4.7,219.98,81.074,55.18,83.89321,2.4,1.3,5.5,29.89999962,9.5,4.4,4.6,4.6,15.6,936.82,92
54,3366.0,3646.0,Ecuador,180.0,4/5/2020 18:24,-1.8312,-78.1834,100.0,Ecuador,ECU,4.0,3.9,68.79,63.821,80.63,87.98872,3.6,0.7,5.1,14.5,7.9,4.0,3.9,3.1,20.5,942.89,64
55,848.0,1173.0,Egypt,78.0,4/5/2020 18:24,26.820553000000004,30.802497999999996,247.0,Egypt,EGY,5.1,3.6,98.87,42.704,89.83,94.19301999999999,3.9,0.2,7.3,22.10000038,4.5,4.6,4.4,2.7,7.9,516.34,33
56,57.0,62.0,El Salvador,3.0,4/5/2020 18:24,13.7942,-88.8965,2.0,El Salvador,SLV,4.0,4.3,309.88,72.023,90.65,87.43356999999999,2.7,1.2,5.6,14.5,9.0,4.6,4.3,2.9,15.69,599.55,54
57,15.0,16.0,Equatorial Guinea,0.0,4/5/2020 18:24,1.6508,10.2679,1.0,Equatorial Guinea,GNQ,4.1,6.7,46.67,72.143,24.64,66.31279,3.2,6.4,4.7,89.59999847,10.5,7.4,7.5,7.3,4,838.74,342
58,29.0,29.0,Eritrea,0.0,4/5/2020 18:24,15.1794,39.7823,0.0,Eritrea,ERI,5.2,6.4,34.62,No data,No data,11.939969999999999,4.8,1.6,6.5,43.09999847,20.6,7.9,5.6,6.6,No data,55.33,501
59,1020.0,1097.0,Estonia,15.0,4/5/2020 18:24,58.5953,25.0136,62.0,Estonia,EST,0.9,2.3,30.39,68.88,No data,99.14656,0.9,0.8,2.8,2.700000048,2.9,1.9,1.5,2.5,34.65,1987.72,9
60,9.0,9.0,Eswatini,0.0,4/5/2020 18:24,-26.5225,31.4659,0.0,Eswatini,SWZ,3.9,5.1,66.06,23.799,24.1,58.351980000000005,4.5,4.9,7.5,70.40000153,20.6,5.4,5.9,4.7,0.8,663.25,389
